76	13	WALKING	0.2758831	-0.018566065	-0.11143146	0.9108557	-0.283658581	-0.131299719	0.08095902	3.083645e-03	5.972490e-03	-0.0174207635	-0.079847250	0.0784205641	-0.09665986	-0.03198493	-0.063669323	-0.1356438678	-0.1356438678	-0.133205035	-0.218669558	-0.30350821	-0.33503012	0.095515067	-0.24685151	-2.314627e-01	0.019430416	0.1521609669	-0.290460802	-0.043919514	-0.34226372	-0.19090593	-4.471195e-01	-0.204509715	-0.19285647	-0.25621355	-0.27660795	-0.022908917	0.074127360	0.1260142165	-0.234600866	0.2535323256	-0.152111501	0.118031209	-0.2674723739	0.3025769334	-0.33852713	0.2290379565	1.249049e-02	0.0119029060
77	13	WALKING_DOWNSTAIRS	0.2949076	-0.014372384	-0.10199394	0.9418756	-0.211555113	-0.095082034	0.10170454	-7.518682e-03	-2.529777e-02	-0.1226722018	-0.023720572	0.1112842397	-0.06471998	-0.06694141	-0.051202048	-0.0294634300	-0.0294634300	-0.127926052	-0.102114481	-0.32355244	-0.07266027	-0.036453525	-0.15117872	-3.855545e-01	-0.014212010	0.1200507675	-0.114851556	-0.207812348	-0.27613804	-0.34660866	-4.566412e-01	-0.304013848	-0.31967712	-0.13382889	-0.21290666	-0.174691860	0.066526839	-0.0346308041	0.052879188	0.0821411398	-0.028215666	0.026643425	-0.2061217072	0.2574210611	-0.26639990	0.2074357190	-4.774920e-02	0.0220198445
78	13	WALKING_UPSTAIRS	0.2582039	-0.027739225	-0.12576727	0.8476343	-0.357404502	-0.207507171	0.06924421	-1.280098e-03	-2.541263e-02	-0.1382937623	0.003819669	0.1166795633	-0.06648172	-0.04530520	-0.066165392	-0.1011535017	-0.1011535017	-0.456190454	-0.237182958	-0.63196490	-0.38246074	-0.063656477	-0.40478524	-4.800801e-01	-0.247165638	-0.2851772887	-0.506212136	-0.368996179	-0.63149643	-0.32334423	-5.860224e-01	-0.504002904	-0.48211301	-0.49217610	-0.25533895	-0.211194499	-0.293383224	-0.2407208230	-0.367522801	-0.1509047241	-0.425100007	-0.027838009	-0.4854773089	-0.1041311478	-0.65608854	0.1073012539	1.344271e-02	0.0436485618
79	14	LAYING	0.2332754	-0.011342465	-0.08683333	-0.1454836	0.485396927	0.836562910	0.09814038	-8.315071e-03	-3.236015e-02	0.0050522118	-0.153423808	0.1491240582	-0.10544664	-0.03726774	-0.056617187	-0.9059782502	-0.9059782502	-0.972576393	-0.904665418	-0.97562118	-0.93393618	-0.930366906	-0.92788231	-4.429504e-01	-0.149752055	0.0313442250	-0.972010709	-0.969342124	-0.96859320	-0.15859909	-2.311533e-01	-0.088792248	-0.94995904	-0.93808790	-0.94910716	-0.236882321	-0.277833949	0.0233332527	-0.899463669	-0.1317711726	-0.967988596	0.175722997	-0.9301517312	-0.1908370393	-0.96645534	0.1216438006	1.772967e-02	0.0116599808
80	14	SITTING	0.2799906	-0.008705655	-0.10040149	0.9390388	-0.036453396	-0.094597053	0.07418788	-4.361860e-03	-1.057445e-02	-0.0440403327	-0.071347828	0.0928523607	-0.09216146	-0.04345773	-0.052012161	-0.9441979437	-0.9441979437	-0.976521006	-0.942756369	-0.98831761	-0.97645661	-0.932644766	-0.94412608	-1.450440e-01	-0.090427527	-0.0357959047	-0.981566649	-0.968951770	-0.97275197	0.00357106	-2.321436e-01	-0.149511317	-0.97857712	-0.96980673	-0.95702086	-0.107487048	-0.341282824	-0.0834989972	-0.940589853	0.0153680502	-0.972985343	0.198414100	-0.9633205406	-0.1719707308	-0.98732424	0.0740675933	2.760233e-02	0.0146690544
81	14	STANDING	0.2805456	-0.015207813	-0.10381770	0.8753196	-0.226692231	-0.338174889	0.07379337	5.795662e-03	-7.207778e-03	-0.0220886527	-0.055810883	0.0790475887	-0.10071846	-0.04500968	-0.050903618	-0.9434568473	-0.9434568473	-0.972965788	-0.943530017	-0.97487333	-0.97269956	-0.942178248	-0.94242203	-2.459050e-01	-0.138431167	0.0025302263	-0.978181640	-0.967249905	-0.96671843	0.02375942	-2.121968e-01	-0.069082605	-0.95711177	-0.95083619	-0.95099988	-0.306015726	-0.278003653	-0.1988974550	-0.949715060	-0.0374702782	-0.970214126	0.214251896	-0.9444055638	-0.1910310113	-0.96917564	0.0125408703	7.429672e-03	0.0175847539
82	14	WALKING	0.2719596	-0.021778538	-0.10675637	0.8029740	-0.270314823	-0.422495268	0.07208779	2.411602e-02	1.997230e-02	-0.0034765506	-0.082968285	0.0513222718	-0.11065605	-0.04389695	-0.038882592	-0.1444046718	-0.1444046718	-0.377293155	-0.137208742	-0.51989505	-0.42149817	-0.174601845	-0.17736643	-3.588046e-01	-0.143666881	-0.1755288301	-0.472360617	-0.376766601	-0.41589918	-0.25590096	-3.634638e-01	-0.323114422	-0.50859585	-0.21589495	-0.21292576	-0.159441619	-0.420295652	-0.3609703002	-0.373516771	-0.0368327907	-0.431591453	0.164708201	-0.3113864497	-0.0398346769	-0.59103694	0.2009172341	5.946294e-02	0.0084610723
83	14	WALKING_DOWNSTAIRS	0.2934221	-0.020014141	-0.09283302	0.8162964	-0.264254675	-0.392555882	0.04286316	2.913394e-02	1.049526e-02	-0.0147079653	-0.094528841	0.0353344538	-0.10862038	-0.07405898	-0.061597880	0.1855377069	0.1855377069	0.035360138	0.166340012	-0.27512088	0.02125416	0.371482470	0.28073595	-3.496099e-01	-0.007777496	-0.0984339940	-0.033782046	0.164775056	-0.02487898	-0.27101153	-3.069390e-01	-0.295300086	-0.29531554	0.01320823	0.49241438	-0.250106322	-0.207057454	-0.1134533808	0.471905155	0.0004641651	0.186223478	-0.001709236	-0.0787568407	0.0800347917	-0.25474713	0.0529337426	3.549915e-03	0.1064217733
84	14	WALKING_UPSTAIRS	0.2624211	-0.020438818	-0.11227969	0.6882561	-0.322680365	-0.495088720	0.08033030	-1.831312e-02	3.441995e-03	0.0813841685	-0.123499570	-0.0441381887	-0.12826667	-0.02077497	-0.013723762	0.1401082041	0.1401082041	-0.283663836	0.365779419	-0.39992195	-0.32350844	0.016393923	0.19169374	-3.891336e-01	-0.366543122	-0.3678771893	-0.383497147	-0.347606640	-0.26400847	-0.26393506	-4.873479e-01	-0.521529495	-0.44104836	0.11868769	0.19670322	-0.389723705	-0.521877343	-0.5015725980	-0.075985181	-0.1687238175	-0.288744334	0.039928833	0.0488588668	-0.2874130840	-0.45725061	0.0763471680	7.225416e-02	-0.0091539598
85	15	LAYING	0.2894757	-0.016629654	-0.11853024	-0.1719931	0.899242553	-0.036919291	0.07675154	1.239843e-02	-4.439280e-03	-0.0168300888	-0.061970087	0.1134518998	-0.10226671	-0.04158790	-0.062433456	-0.9553406615	-0.9553406615	-0.979890228	-0.944605127	-0.98323503	-0.97401618	-0.962461124	-0.95156595	-1.489121e-01	0.240597439	0.0627474805	-0.981329999	-0.970833222	-0.97477568	0.11478748	1.410568e-02	0.001033973	-0.95541360	-0.96431089	-0.95819010	-0.154987483	-0.146020122	0.0008121859	-0.956001034	0.1273584108	-0.973681223	0.273485129	-0.9468126424	-0.1963442677	-0.97572785	0.0886671329	4.157223e-03	-0.0187121704
86	15	SITTING	0.2729034	-0.011718847	-0.11366125	0.8903643	0.210849305	0.002815660	0.07847928	-8.984376e-03	-2.372075e-03	-0.0377111130	-0.080342876	0.0951978084	-0.09536491	-0.03960688	-0.052414834	-0.9586698363	-0.9586698363	-0.986107839	-0.957331628	-0.99218889	-0.98661961	-0.938926431	-0.96322700	-4.229048e-05	0.096685720	0.1510531273	-0.988106102	-0.978159013	-0.98490842	0.24002278	-6.703831e-06	0.039756002	-0.98615258	-0.97920172	-0.96673152	0.105475683	-0.154626052	-0.0086725970	-0.949752001	0.1575063186	-0.984689437	0.242818344	-0.9737621798	-0.0544036755	-0.99018096	0.2080168179	1.280447e-03	0.0122376311
87	15	STANDING	0.2789158	-0.018351636	-0.10591083	0.9655289	-0.164713175	0.064597599	0.07522807	6.172555e-03	-6.587371e-03	-0.0262433562	-0.065963752	0.0761946739	-0.10135879	-0.04385075	-0.052278397	-0.9612076162	-0.9612076162	-0.981495126	-0.946961381	-0.98440708	-0.98672500	-0.943348789	-0.96547351	6.271776e-02	-0.034499003	0.0993963491	-0.985353493	-0.967884709	-0.98263230	0.26794779	-1.736151e-01	0.065047508	-0.95038029	-0.97513387	-0.96826486	-0.188670855	-0.130161073	-0.0512384435	-0.960337344	0.0328961071	-0.979078786	0.293685314	-0.9567339002	-0.1999135498	-0.98318809	0.0570238664	-2.319950e-03	0.0222929098
88	15	WALKING	0.2738992	-0.017080974	-0.10762182	0.9515244	-0.233918283	0.075735673	0.08977707	8.905886e-03	6.587062e-04	-0.0554883848	-0.061242788	0.0842484921	-0.07766928	-0.05525366	-0.051097649	-0.1865146508	-0.1865146508	-0.320129323	-0.243711124	-0.54397950	-0.31744092	0.111321097	-0.55494214	-3.955180e-01	0.029175544	-0.0059076868	-0.390821985	-0.066937806	-0.64890525	-0.29208832	-3.305600e-01	-0.186832027	-0.25339936	-0.53542210	-0.46146407	-0.149193146	-0.339593024	-0.0485169126	-0.275156242	0.0782256056	-0.289753952	0.016417063	-0.4891663837	-0.0458814866	-0.64507518	0.0070601079	1.138314e-02	-0.0788266043
89	15	WALKING_DOWNSTAIRS	0.2801989	-0.005630478	-0.11052607	0.9323022	-0.167462317	0.078882241	0.07114572	1.511590e-02	-1.002129e-02	-0.1366186531	-0.034675573	0.0711758198	-0.04825321	-0.04954155	-0.033921306	0.3204493872	0.3204493872	-0.037266607	-0.121686321	-0.50946665	0.23530983	0.167518100	-0.25981220	-4.455767e-01	0.023364253	0.1807489441	0.061968749	-0.026976942	-0.34537654	-0.37713094	-3.863234e-01	-0.117402353	-0.22735957	-0.40233230	-0.18319480	-0.246346934	-0.134716107	-0.0645117088	0.331150229	-0.0581788549	0.158413335	-0.079965614	-0.3738986312	-0.1109707410	-0.56539613	0.0564155791	3.346751e-02	0.0167093420
90	15	WALKING_UPSTAIRS	0.2701876	-0.028752386	-0.11695246	0.9185448	-0.314961013	0.081180341	0.07297243	-4.173618e-03	-5.258799e-03	0.0903340030	-0.154721289	0.0911681485	-0.14448599	-0.03654192	-0.076724250	-0.0009713947	-0.0009713947	-0.316050382	-0.201217274	-0.66363712	-0.07463284	-0.101935433	-0.53959108	-5.050136e-01	-0.149770908	-0.2509616137	-0.237053073	-0.338102217	-0.71455417	-0.43949958	-4.684969e-01	-0.313514802	-0.36109686	-0.51702525	-0.48570175	-0.284366648	-0.465209736	-0.2191228862	-0.165242148	-0.0383017813	-0.261956680	0.100960098	-0.4536935663	-0.2919777071	-0.73142236	0.1440107492	4.435724e-02	-0.0221758428
91	16	LAYING	0.2742272	-0.016610351	-0.10731049	-0.2067837	-0.019927023	0.893884469	0.07839603	1.328051e-02	-1.541051e-03	-0.0161545407	-0.113675061	0.0966210349	-0.10220957	-0.03477353	-0.057679044	-0.9618346349	-0.9618346349	-0.988349657	-0.951777100	-0.99083953	-0.98021319	-0.963635575	-0.97458007	-3.464136e-01	-0.183018140	0.1306791931	-0.988580046	-0.984752927	-0.98554495	0.06559672	-1.857992e-02	0.065207860	-0.97589241	-0.97609292	-0.98595779	-0.125551598	-0.215507801	0.1002357552	-0.968020521	-0.1213023405	-0.987514525	0.353266128	-0.9702496389	-0.1249985525	-0.98869528	0.0909875828	5.392728e-02	0.0259656102
92	16	SITTING	0.2807686	-0.010249794	-0.08914040	0.9424574	-0.086588254	0.089268220	0.07343467	9.856429e-03	-1.150306e-02	-0.0412014042	-0.057452543	0.0795736310	-0.09572045	-0.04503693	-0.058837127	-0.9618796807	-0.9618796807	-0.987472699	-0.946417382	-0.99244461	-0.98704383	-0.961456686	-0.95955223	-7.578596e-03	0.149987934	0.1315604206	-0.990964251	-0.981752167	-0.98117804	0.20345253	-2.720281e-02	0.011017371	-0.97863286	-0.96679600	-0.96005826	0.138693079	-0.174805736	0.2071127983	-0.958335481	0.2406172641	-0.983968636	0.320055145	-0.9540609943	0.0006880603	-0.98936314	0.2326317658	1.796291e-02	-0.0001601600
93	16	STANDING	0.2834974	-0.016599967	-0.10365773	0.9415877	-0.057886704	-0.166737468	0.07364389	1.207680e-02	-4.763106e-03	-0.0299337294	-0.068667733	0.0867342709	-0.10010733	-0.04249822	-0.054433529	-0.9699488251	-0.9699488251	-0.989205232	-0.972528178	-0.99284858	-0.98942767	-0.969314015	-0.96999950	-1.623714e-02	0.067356942	0.0525158714	-0.991038639	-0.982425404	-0.98609189	0.26745246	-1.107570e-02	-0.005277779	-0.97315735	-0.98359424	-0.98363927	-0.117570140	-0.180188922	0.0079153235	-0.971082558	0.0924921398	-0.986502688	0.344673907	-0.9754486322	-0.0835937870	-0.99117243	0.2110781342	5.917980e-03	0.0410077143
94	16	WALKING	0.2760236	-0.020428693	-0.10880405	0.9259813	-0.066824647	-0.217351194	0.07702238	9.684447e-03	3.608033e-03	-0.0151721913	-0.069595569	0.0818650736	-0.11091735	-0.04338768	-0.053298667	-0.2587666941	-0.2587666941	-0.363144484	-0.485931933	-0.67154183	-0.39479043	-0.321500668	-0.24436305	-3.506820e-01	-0.027039203	0.0309811083	-0.441406183	-0.454270822	-0.42233239	-0.33091215	-3.965119e-01	-0.453928998	-0.59574649	-0.61973193	-0.43288531	-0.184031595	-0.087047584	-0.2850787299	-0.410463242	0.1756004777	-0.378278491	0.092199914	-0.6692285408	0.1797274285	-0.72068229	0.1076755658	1.480843e-02	0.0100011475
95	16	WALKING_DOWNSTAIRS	0.2955868	-0.018389858	-0.11987371	0.9178184	-0.058483268	-0.225382496	0.09078571	-1.481145e-02	-2.931226e-02	-0.0225373370	-0.068264793	0.0835380057	-0.10390404	-0.05676866	-0.061213693	0.1910797936	0.1910797936	-0.165908811	-0.309820427	-0.59089664	0.03682635	-0.134598353	-0.04769426	-4.479584e-01	-0.002645880	0.0352940709	-0.155444883	-0.289957855	-0.24197408	-0.36897840	-4.170642e-01	-0.376637687	-0.42084401	-0.47951298	-0.37500063	-0.282624940	0.079105923	-0.1213215782	0.114032089	0.0201391853	-0.074565908	-0.014841444	-0.4882539396	0.0415472891	-0.58966315	0.1029278767	-1.630426e-01	-0.0449862704
96	16	WALKING_UPSTAIRS	0.2559861	-0.014365495	-0.12407452	0.8268743	-0.080592603	-0.379059698	0.07625267	1.737293e-02	3.805336e-02	0.0718408878	-0.048613679	-0.0077928802	-0.14090829	-0.02962113	-0.035416300	-0.2339903316	-0.2339903316	-0.483219050	-0.308260568	-0.73770516	-0.47498401	-0.268063813	-0.33585304	-4.380311e-01	-0.223644984	-0.3015082489	-0.546088863	-0.468605205	-0.56522084	-0.33223773	-5.357992e-01	-0.519560112	-0.53239972	-0.64201806	-0.49242749	-0.380643599	-0.311988460	-0.4197840418	-0.370649738	-0.0937396806	-0.475597718	0.067344371	-0.6305466755	-0.2792310713	-0.78783363	0.1345378923	2.389275e-02	0.0808783829
97	17	LAYING	0.2697801	-0.016846201	-0.10700628	-0.1991331	0.658792072	0.722657502	0.07790897	7.068671e-03	-1.435425e-04	-0.0234756467	-0.094458019	0.1114404903	-0.10204976	-0.03619611	-0.060492705	-0.9530214111	-0.9530214111	-0.981607628	-0.960733122	-0.98554241	-0.97435928	-0.954648102	-0.96540609	-1.151418e-01	0.054607561	0.0834467171	-0.981472069	-0.977212388	-0.98038006	0.18844798	2.793059e-02	0.026575233	-0.97194921	-0.97366910	-0.97616485	0.006567923	0.015484763	0.1319705842	-0.961046326	-0.0494678209	-0.979687319	0.374273669	-0.9690144448	-0.0465567390	-0.98276553	0.2428508623	7.772761e-03	0.0190444743
98	17	SITTING	0.2773570	-0.014156274	-0.11362409	0.9448837	-0.002814673	-0.135803882	0.07507099	5.609710e-03	-1.554484e-03	-0.0425491590	-0.066924593	0.0860053803	-0.09424770	-0.04111342	-0.051090324	-0.9727473464	-0.9727473464	-0.992814715	-0.967177744	-0.99633479	-0.99396938	-0.969927989	-0.97484160	2.848663e-02	0.135749050	0.1839136304	-0.994542621	-0.988327420	-0.98882807	0.23200976	8.853390e-02	0.099508167	-0.98841107	-0.98879398	-0.98161710	0.167684959	-0.148799346	0.1234302409	-0.973626755	0.1260096691	-0.991427250	0.381521255	-0.9833692923	-0.0181759388	-0.99520456	0.3586823610	-9.176150e-03	0.0028135219
99	17	STANDING	0.2779425	-0.017412006	-0.11143215	0.9046785	-0.257486818	-0.202687757	0.07408650	6.578535e-03	-4.035996e-03	-0.0269576937	-0.077063213	0.0880561869	-0.10128917	-0.04045188	-0.054633133	-0.9776359814	-0.9776359814	-0.991742754	-0.978184577	-0.99367297	-0.99092753	-0.974170569	-0.98023158	-3.255325e-02	0.045520774	0.1075847337	-0.992129226	-0.986278342	-0.98956363	0.25711820	7.399873e-02	0.084722621	-0.98069626	-0.98733404	-0.98595498	-0.139034613	-0.162736719	0.0601796814	-0.980967748	0.1190584075	-0.990162799	0.426849041	-0.9842911315	-0.1156351418	-0.99272394	0.3146178143	1.511425e-02	0.0030196722
100	17	WALKING	0.2723419	-0.018487540	-0.10979212	0.9281124	-0.179927383	-0.190265950	0.07731886	1.300985e-02	2.437533e-02	-0.0092226552	-0.083977334	0.0757132657	-0.10995924	-0.03792513	-0.051380717	-0.1511514877	-0.1511514877	-0.301093269	-0.335009837	-0.51716744	-0.36099167	-0.065026762	-0.38283280	-4.149410e-01	0.008571381	-0.0933328732	-0.423446095	-0.194232722	-0.52342706	-0.43680842	-4.004934e-01	-0.446731877	-0.40771671	-0.49016629	-0.39880922	-0.102582659	-0.076168117	-0.1632707279	-0.429380043	0.1743492278	-0.335938892	0.027410327	-0.5186180587	0.3515646888	-0.58271186	0.1520442287	6.318500e-02	-0.0086062489
101	17	WALKING_DOWNSTAIRS	0.2939183	-0.016735940	-0.08924327	0.9288176	-0.151077058	-0.160962986	0.11825086	-1.138262e-02	-9.398381e-03	0.0677728391	-0.123517196	0.0162878746	-0.10777003	-0.03817024	-0.058251885	0.1489511035	0.1489511035	-0.221631694	-0.232641763	-0.54032579	-0.02262392	-0.130272515	-0.31808186	-5.145622e-01	-0.155801014	-0.1133331856	-0.215092049	-0.351268404	-0.49866846	-0.50855703	-5.590858e-01	-0.452939005	-0.31641296	-0.45112687	-0.40338039	-0.279498022	-0.074445168	-0.1547267986	0.058068052	-0.0553633753	-0.188680400	-0.044594637	-0.4094387583	-0.0258920215	-0.57734888	0.1630452881	-6.177845e-02	-0.1205539757
102	17	WALKING_UPSTAIRS	0.2526048	-0.022864561	-0.12129044	0.8535306	-0.284153753	-0.298171464	0.07680442	3.083565e-02	7.595338e-03	-0.0304250571	-0.054845594	0.0560931358	-0.14265540	-0.04144963	-0.022348209	-0.0128062277	-0.0128062277	-0.357233898	-0.235191249	-0.63736749	-0.13975222	-0.117519736	-0.39992349	-5.292345e-01	-0.156694375	-0.2583213941	-0.360272226	-0.377051929	-0.63301771	-0.57604400	-4.740560e-01	-0.552822976	-0.41622302	-0.52143542	-0.32427371	-0.230933831	-0.210551597	-0.3491785713	-0.150305643	-0.1844085150	-0.360299853	-0.089013615	-0.5040669569	-0.1035208903	-0.66900876	0.0865541720	5.899563e-02	0.0683932525
103	18	LAYING	0.2746916	-0.017393768	-0.10769893	-0.2206005	0.719755404	0.605495318	0.07499850	1.170190e-02	-1.213448e-03	-0.0251761807	-0.083758731	0.0937781948	-0.09971542	-0.03934402	-0.059313599	-0.9864562415	-0.9864562415	-0.988321540	-0.980740847	-0.99309512	-0.98517997	-0.984909885	-0.98860691	-9.752781e-02	0.264460074	0.3242755389	-0.986404709	-0.985865325	-0.98911687	0.15976110	5.516928e-02	0.166856209	-0.99243693	-0.98561117	-0.98499929	0.055156416	-0.055605412	0.1930838560	-0.986788412	0.3394726491	-0.988548418	0.393635924	-0.9843290922	0.1593754266	-0.99190101	0.3201322353	7.802015e-03	0.0285001831
104	18	SITTING	0.2772700	-0.012869128	-0.11190478	0.9098165	0.129886476	0.161877418	0.07662289	6.945603e-03	2.787570e-03	-0.0333057034	-0.068579634	0.0848140512	-0.09547232	-0.03971256	-0.052303040	-0.9836741518	-0.9836741518	-0.989869575	-0.977634992	-0.99487344	-0.99314492	-0.976538530	-0.98299644	5.123633e-02	0.171289880	0.1714594817	-0.991924710	-0.983642392	-0.98868967	0.23474757	6.871954e-03	0.043743888	-0.98996150	-0.98870270	-0.98302739	0.113674950	-0.150376357	0.1032033883	-0.984781467	0.3045810575	-0.990407076	0.459090850	-0.9865352421	0.0492559518	-0.99480819	0.3296174667	1.463484e-02	0.0111668165
105	18	STANDING	0.2784588	-0.016635352	-0.10845336	0.9475732	-0.204206321	-0.048576711	0.07535395	1.046987e-02	-1.816405e-03	-0.0265873249	-0.073226013	0.0843190676	-0.09871740	-0.04065734	-0.053238445	-0.9726074953	-0.9726074953	-0.985965294	-0.963006793	-0.98868595	-0.99040992	-0.961239135	-0.97577281	1.566958e-02	-0.043710454	-0.0176421533	-0.989544971	-0.975243690	-0.98626565	0.20029594	-1.574320e-01	0.004089661	-0.96442893	-0.98356116	-0.97429441	-0.250059301	-0.264498462	-0.1004561906	-0.976797646	0.0447928489	-0.984987073	0.361013970	-0.9723525930	-0.2125596908	-0.98896067	0.0985401527	9.917167e-03	0.0006368392
106	18	WALKING	0.2738878	-0.017802363	-0.10421832	0.9238652	-0.254317086	-0.060931342	0.07675243	2.827455e-02	1.068509e-02	-0.0399399716	-0.061372736	0.0944718395	-0.09664353	-0.04337711	-0.050263157	-0.2879080780	-0.2879080780	-0.379269262	-0.500471148	-0.63648590	-0.37147516	-0.243606271	-0.48977105	-3.621071e-01	0.063930296	0.0048836155	-0.414797154	-0.361908549	-0.60114725	-0.34877438	-3.372933e-01	-0.206330044	-0.60967343	-0.57089815	-0.53815234	0.018239460	-0.281459547	-0.2355977771	-0.424386734	0.1316468531	-0.414037751	0.089329359	-0.6203313943	0.1756385812	-0.71059631	0.2699676150	3.926828e-02	0.0230035142
107	18	WALKING_DOWNSTAIRS	0.2884395	-0.016866692	-0.10339081	0.9322775	-0.225809125	-0.049363673	0.08090440	-7.570694e-04	-1.417699e-02	-0.0576548656	-0.063621434	0.0987471683	-0.08365666	-0.05091203	-0.057059181	-0.2935319736	-0.2935319736	-0.466516044	-0.381022815	-0.70166307	-0.35008679	-0.309049614	-0.50582436	-4.358415e-01	-0.140094304	-0.0976588501	-0.412728287	-0.465982666	-0.62213590	-0.33419378	-4.302091e-01	-0.313077962	-0.48923227	-0.64152760	-0.44703070	-0.300670600	-0.235263360	-0.2116495158	-0.241973535	-0.0768405980	-0.383398713	0.005930036	-0.6047354144	-0.1592210759	-0.74423605	0.0717609181	-2.705133e-02	-0.0321249909
108	18	WALKING_UPSTAIRS	0.2654012	-0.022206068	-0.11265589	0.8833303	-0.316619946	-0.106112549	0.08124020	2.116547e-02	9.358966e-03	-0.0470683915	-0.052613382	0.0906736478	-0.08999530	-0.05274726	-0.069253621	-0.2791463128	-0.2791463128	-0.601463948	-0.369108600	-0.78165269	-0.46509726	-0.363450743	-0.52272838	-5.175968e-01	-0.249448649	-0.4068852862	-0.589410590	-0.579650286	-0.73614927	-0.44208938	-4.660431e-01	-0.512443088	-0.59232371	-0.64981727	-0.50436410	-0.304205041	-0.502729413	-0.3223330664	-0.436561064	-0.2186155282	-0.574481397	-0.029034255	-0.6540290893	-0.3381257768	-0.82619316	0.0772586583	1.459570e-02	0.0709435610
109	19	LAYING	0.2726537	-0.017142686	-0.10898146	-0.6800432	0.725646623	0.687623853	0.07723180	1.114957e-02	-9.886909e-04	-0.0312072731	-0.095262801	0.1086051137	-0.09560183	-0.03714766	-0.059916148	-0.9662608069	-0.9662608069	-0.984784340	-0.953263433	-0.98534250	-0.97453373	-0.972798824	-0.98534045	-2.531887e-01	0.292492930	0.2937222609	-0.983478562	-0.974878271	-0.98650649	0.13527744	8.382270e-02	0.117028928	-0.97419622	-0.97206100	-0.97393233	0.249209412	-0.156450013	0.0518654912	-0.971957401	0.1684811966	-0.980621564	0.211317150	-0.9656247245	0.0778651217	-0.98189047	0.0457006718	-2.110749e-02	0.0113723793
110	19	SITTING	0.2738303	-0.016739260	-0.10870765	0.5813715	0.360343535	0.489126595	0.07537471	1.379210e-02	1.731068e-03	-0.0214151280	-0.052020789	0.0968980718	-0.10098613	-0.04251702	-0.059080168	-0.9620740656	-0.9620740656	-0.986423976	-0.942229044	-0.98945032	-0.97923803	-0.960763182	-0.96633509	-3.152881e-01	-0.007410602	-0.0035781574	-0.986775590	-0.979141572	-0.98398048	0.09170031	-9.257591e-02	0.018538185	-0.98174366	-0.96818868	-0.96823578	-0.019286812	-0.393021958	-0.1473669714	-0.962632578	-0.0538580142	-0.983751647	0.268456602	-0.9642387685	-0.1924516208	-0.98672742	0.0978646251	3.584152e-02	-0.0203678172
111	19	STANDING	0.2781723	-0.015424406	-0.10904190	0.9440458	-0.223897808	0.130643718	0.07541204	9.913383e-03	1.292163e-03	-0.0250905740	-0.063142983	0.0710520180	-0.09904679	-0.04229185	-0.052376987	-0.9605056836	-0.9605056836	-0.983068924	-0.941745041	-0.98580164	-0.98735205	-0.952872872	-0.96854335	4.241640e-02	-0.036260517	0.0261012091	-0.985039596	-0.970011346	-0.98346330	0.19913594	-1.125138e-01	0.028630864	-0.94786564	-0.97506167	-0.96510064	-0.283665470	-0.291796964	-0.1139764279	-0.968910789	0.0017811267	-0.979135413	0.290737135	-0.9585781296	-0.2470236169	-0.98453661	0.0645676883	1.349427e-02	0.0055184556
112	19	WALKING	0.2739312	-0.019177359	-0.12273667	0.9352226	-0.223338100	-0.089842880	0.08222463	1.441135e-02	-3.275287e-02	-0.0274970980	-0.075156933	0.0798106982	-0.08323533	-0.03071284	-0.060309196	0.0648173439	0.0648173439	0.109450990	0.100045071	-0.16469998	-0.02998157	0.169258576	-0.10442336	-1.764475e-01	0.057076730	0.3518600116	0.033638100	0.010731870	-0.12936790	-0.21478705	-3.880959e-01	-0.005404424	0.22814236	-0.09735498	-0.01050471	-0.093616218	-0.076583236	-0.0330194536	0.032227230	0.3073949506	0.073017993	0.124998092	-0.0952460452	0.1743592313	-0.26244282	0.2503826868	-3.473716e-02	0.0098040475
113	19	WALKING_DOWNSTAIRS	0.2626881	-0.014594228	-0.13369524	0.8819409	-0.215018042	-0.126146869	0.07309303	-3.868721e-02	-9.552025e-03	-0.2057754273	0.027470756	0.1639625108	-0.03374296	-0.03946126	-0.054556556	0.6446043251	0.6446043251	0.434490401	0.418004609	0.08758166	0.53701202	0.494457802	0.11065922	-3.231372e-01	0.012611351	0.2939563865	0.474317256	0.276716853	0.05959058	-0.24057587	-3.875478e-01	-0.116947002	0.47496245	0.14708314	0.21067307	-0.147027421	0.101341293	0.1956648531	0.586637551	0.2264616745	0.538404846	0.174679438	0.2039797648	0.1634179754	-0.02290453	0.1851854916	5.441817e-05	0.0187805524
114	19	WALKING_UPSTAIRS	0.2421188	-0.030398662	-0.15105461	0.8294284	-0.387100709	-0.221008763	0.08315451	5.681859e-02	3.166820e-02	0.0388537088	-0.134514321	-0.0002332482	-0.10180630	-0.03462885	-0.053354588	0.0173811935	0.0173811935	-0.114189606	-0.061615771	-0.37279053	-0.15687949	0.111818164	-0.21964447	-3.441017e-01	0.019767416	0.0488512924	-0.205322646	-0.073928372	-0.38065712	-0.27394274	-3.643480e-01	-0.187567271	-0.19448551	-0.22542182	-0.06612935	0.011172855	-0.191499706	-0.1520295249	-0.079628763	0.1670048043	-0.187391317	0.296851347	-0.2888402678	0.0750700310	-0.47718391	0.2603464414	2.170966e-02	0.0058562136
